Station,Latitude,Longitude,Available Bikes
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,0
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,13
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,8
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7
420 Wellington St W,43.643834,-79.396649,10
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,2
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1
York University Station (North),43.7741,-79.5005,0
Dundas St W / Yonge St,43.656094,-79.381484,30
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,0
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,6
Wellington St W / Bay St,43.647259,-79.379878,52
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,7
161 Bleecker St (South of Wellesley),43.666233,-79.373327,2
Bay St / Scollard St,43.672152,-79.39018,1
Pape Ave / Gamble Ave,43.690237,-79.350119,0
Queen St E / Hammersmith Ave,43.671349,-79.29451,6
Walnut Ave / Queen St W,43.645469,-79.411084,2
Queen St E / Pape Ave - SMART,43.661673,-79.337789,14
Tecumseth St / Tecumseth Pl,43.642697996199985,-79.4049993694586,0
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,0
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,7
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,2
Rouge Hill GO Station,43.7805505,-79.1301203,18
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,4
Bremner Blvd / Rees St,43.641529,-79.386741,48
Willowdale Ave / Bishop Ave ,43.78387252467251,-79.40786809814757,5
Plaxton Dr / St Clair Ave E,43.70751755961952,-79.30252066313936,0
Front St W / University Ave (2),43.6452972,-79.3827914,18
Jarvis St / Richmond St E,43.652777,-79.372637,17
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,1
Dundas St E / River St,43.661152,-79.358505,10
St Clair Ave W / Symes Rd,43.670042134416704,-79.4789424818056,1
Yarmouth Rd / Christie St,43.67,-79.42083333333333,0
Dufferin Gate - SMART,43.633473,-79.425679,10
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,0
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,0
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,0
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,10
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,1
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,1
Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
Chorley Park - SMART,43.6856,-79.3718,0
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,27
Yonge St / Davisville Ave,43.6975969,-79.39654,0
Berry Rd / Bell Manor Dr,43.63732,-79.489083,0
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,18
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,4
St Clarens Ave / Shirley St,43.6486599,-79.4376413,4
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,21
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,8
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,5
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,0
Bay St / Albert St,43.653264,-79.382458,62
High Park Outdoor Pool,43.650154,-79.464934,1
800 Fleet St (South),43.63670985212708,-79.40880517790985,2
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,4
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,25
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,0
Niagara St / Tecumseth St,43.641389,-79.404444,1
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,9
Oakdale Community Centre,43.74751496038769,-79.5132569853195,2
Trinity St /Front St E,43.651318,-79.36023,17
Summerhill Subway Station,43.681944,-79.390556,3
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,2
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,0
Swansea Community Centre,43.6438036,-79.4770327,0
The Queensway / High St,43.630874,-79.482407,14
Esther Shiner Stadium,43.7774374,-79.4447096,3
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,1
College Park - Gerrard Entrance,43.658938,-79.383518,11
Carlton St / Parliament St,43.664524,-79.36793,1
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,0
Spadina Rd / Austin Terrace,43.67883,-79.408723,0
Hanna Ave / Snooker St,43.639547,-79.420022,8
Queen St W / John St,43.650077,-79.391291,20
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,0
Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,0
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,1
Front St E / Cherry St,43.652686,-79.358395,13
Jarvis St / Isabella St,43.668991,-79.379385,2
Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,1
Bay St / College St (East Side),43.660439,-79.385525,25
Richmond St W / York St,43.650745,-79.383633,17
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,1
Bay St / Bloor St W (West Side),43.669244,-79.3894,0
Queen St W / Spadina Ave,43.649147,-79.395504,7
Davenport Rd / Avenue Rd,43.674991,-79.396273,0
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,10
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,5
Edward St / Yonge St,43.656729,-79.382736,20
16 Riverview Gardens ,43.64883712159794,-79.48675294250663,0
Queen's Park / Bloor St W,43.668456,-79.393899,11
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,4
